wikipedia_movie_id,Director,Gender
5923472,Jayanth C. Paranjee,M
6644109,Fernando León de Aranoa,M
14544711,Shunya Itō [ 1 ],F
35618397,K. Bapayya,F
21426256,Daniel Mann,M
9985474,Peter Sykes,M
11361551,Lloyd Bacon,M
3340222,Carl Theodor Dreyer,M
1132138,Kirk R. Thatcher,M
13457871,Peter Graham Scott,M
736262,Rob Reiner,M
17007014,George Marshall,M
21088136,Georgiy Daneliya,M
2262277,Mira Nair,F
5125134,Tobe Hooper,M
19511466,Poul Bang,M
5240350,Steve Carver,M
14076924,Pete Walker,M
20138604,Jack King,M
32066330,Alan Mak Felix Chong,M
18195326,Choi Equan Choe Seung-won,M
30864413,Sikander Bharti,F
13365023,Jorge Furtado,M
22475578,Hari Kumar,M
24292756,Ken Wiederhorn,M
17839776,Fred Niblo,M
8889869,Anil Sharma,M
21234681,Veit Harlan,M
8658177,Andrea Arnold,F
7376595,Anna Muylaert,F
20762723,F. Richard Jones,M
12095072,Michael Lessac,M
24434151,Ralph Ziman,M
7376439,Michael Curtiz Vittorio De Sica (uncredited),M
4188689,Joe D'Amato,M
10345537,Nasir Hussain,M
24021186,Ward Kimball Charles A. Nichols,M
249406,Mark Sandrich,M
2295231,George T. Miller,M
22994034,Bertrand Tavernier,M
8743599,Ashutosh Gowariker,M
7544443,Irving Pichel,M
19160892,Gerald Thomas,M
7566281,N. Maharajan,M
27383563,Rian Johnson,M
6242699,Charlie Chaplin,M
7100124,Robert McKimson,M
16943307,Tony Palmer,M
30975925,Matt Cimber,M
22946282,Anne Claire Poirier,F
23248065,Mamoru Oshii,M
3694061,Gerald Thomas,M
6847340,Richard Oswald,M
17594183,James Scott,M
6057135,David Lowell Rich,M
19988478,Marc Allégret,M
36406869,Fred Vogel,M
957179,Stephen Fry,M
9208103,Frank R. Strayer,M
30160141,David A. Prior,M
3389311,Martin Sheen,M
5565338,Hal Needham,M
168571,Neil Jordan,M
31982675,Allan Dwan,M
26876259,Mohan,M
6244632,Preston A. Whitmore II,M
26013008,Rajiv Anchal,M
6183212,George Marshall,M
15371815,Kim Ki-young [ 1 ],F
31149313,Vijay Reddy,M
846329,Yasujirō Ozu,M
6352213,Frank Tashlin Robert McKimson (both uncredited) [ 1 ],M
10990102,Arthur Penn,M
30719399,John E. Blakeley,M
11144406,Clarence Brown,M
1231856,Sam Raimi,M
16573952,Armand Mastroianni,M
23737168,John Sturges,M
161877,Lindsay Anderson,F
36036213,Frank Darabont,M
24813200,Vincent Rocca,M
36348802,Pang Ho-cheung,F
10858701,Michelangelo Antonioni,M
29832052,Pasquale Squitieri,M
934809,Blake Edwards,M
31646915,Edward Dmytryk,M
10663174,Rishi Opel,M
16645962,Eduardo Chapero-Jackson,M
30587025,Jagdish A Sharma,F
31707381,Robert D. Webb,M
4600837,Rowland V. Lee,M
1273572,Michael Powell Emeric Pressburger,M
77639,Sam Wood,M
9879576,Don Napy,M
5080311,Delmer Daves,M
23939272,Edward F. Cline,M
23714330,Yasujirō Ozu,M
5137345,Sam Firstenberg [ 1 ],M
13508675,John Grissmer,M
8948959,Charles Brabin,M
31636280,Reema Kagti,F
10017049,Fred Avery,M
27695067,Edgar Selwyn Richard Boleslawski (uncredited),M
5150761,David Winkler,M
612007,Werner Herzog,M
25366718,Michael Toshiyuki Uno,M
7299774,Sidney Hayers,M
6057698,Ronald Neame Cliff Owen,M
967367,Peter Bogdanovich,M
8610844,Rudolph Maté,M
2028217,David Lynch,M
1141059,Pieter Jan Brugge,F
34109833,Alfred Santell,M
28839628,Jack Gold,M
11259949,Henry Koster,M
18070985,Ricardo Méndez Matta,M
14613957,Cecil B. DeMille,M
22811780,Max Ophüls,M
5682615,Andy Sidaris,M
20500100,C.M. Franklin S.A. Franklin,M
26268645,Jean Benoît-Lévy Marie Epstein,F
35588348,Teguh Karya,M
25417587,Joel C. Lamangan,M
16791614,John Cromwell,M
21674541,George Mihalka,M
9943176,Lloyd Bacon,M
3504034,Reginald Le Borg,M
17884388,Anil Sharma,M
1157158,Danny DeVito,M
24665535,A.J. Kparr,M
16647548,Samuel Fuller,M
3028248,Emile Ardolino,M
3432108,Richard C. Sarafian,M
19940109,Jean Delannoy,F
4501185,Mic Rodgers,M
2397783,Jason Bourque,M
9594415,Sam Taylor,F
2119021,Pier Paolo Pasolini,M
29023860,Chris Jones,M
1774709,Norman Taurog,M
28992007,Olivier Masset-Depasse,M
15098346,S. R. Pratap,M
13769297,Freddie Francis,M
20426704,Richard Frankland,M
24858468,Henri Decoin,M
6836206,Carl L. Pierson,M
9362941,Raoul Walsh,M
12042846,Stefan Scaini,M
19673886,King Vidor,M
3059075,Dennis Dugan,M
142274,W. D. Richter,M
26967925,Rachid Bouchareb,M
31250513,Simon Callow,M
508985,Alan Rudolph,M
3682299,Jerry Jameson,M
32098888,Shakti Samanta,F
21239514,John Gilling,M
1472865,Ali Khamraev,M
23687492,Guido Salvini,M
5284284,David Zeiger,M
26291262,Robert McKimson,M
26778773,Alexander Mitta,M
26149260,Kevin Munroe,M
5049873,Gabriele Salvatores,F
26967810,Xavier Beauvois,M
24407838,Rupert Glasson,M
31934171,K. G. George,M
7121282,Friz Freleng Hawley Pratt,M
1871167,Donald Petrie,M
23593226,Satish Kaushik,M
18487239,Brian Gilbert,M
2486602,John E. Hudgens,M
1217079,Roland Joffé,M
30710263,Ravi Kinnagi,M
29865278,David Dhawan,M
10088120,Melville Shavelson,M
35041105,K. Raghavendra Rao,F
2313467,George Pollock,M
1472852,Paul Mazursky,M
31032524,Gordon Douglas,M
20094531,Tom Donahue,M
27953778,Pang Ho-cheung,F
19127891,Alfred E. Green Phil Rosen (uncredited),M
9497934,John Guillermin,M
32564574,Charles Maigne,M
6846215,Iain Softley,M
418154,Andrew Sugerman,M
29002780,Gordon Parry,M
780889,Andrew Marton,M
9002666,Gian Luigi Polidoro,M
29381531,Imran Khalid,M
23691047,Joseph Kane,M
32206533,Alan Metzger,M
22680762,Marco Bellocchio,M
31303771,Stuart Margolin,M
780888,Henry Hathaway,M
9555242,Paul Hoen,M
6068626,Godfrey Daniels,M
13934307,Lukas Moodysson,M
4400057,Mark Story,M
12180811,Duncan Gibbins,M
1886189,Abbas Kiarostami,M
11760680,Blair Treu,M
19898489,B. R. Chopra,F
16252413,Sam Wood,M
28903478,Bette Gordon,M
2110246,Francine McDougall,F
24708749,Jonathan English,M
23700069,Felix E. Feist,M
25920724,Sean S. Cunningham,M
32635381,Kriv Stenders,M
5177364,Mahesh Manjrekar,M
14416508,Julien Temple David Douglas Roman Kroitor Noel Archambault Christine Strande,M
23470411,John Waters,M
9401987,Oscar Rudolph,M
11698816,Russ Brandt Brian J. De Palma,M
7838865,Timo Koivusalo,M
36353254,Frasco Santos Mortiz,M
5177163,Mohan Sehgal,M
1480748,Eric Meza,M
250012,Clint Eastwood,M
2023704,Phillip Noyce,M
9650057,S. A. Chandrasekhar,M
2723037,Freddie Francis,M
33505627,Lee Alliston Scott Bates,M
35282954,Sammy Lee,M
1480747,Doug McHenry George Jackson,M
683122,Supervising Director David D. Hand Sequence Director James Algar Bill Roberts Norman Wright Sam Armstrong Paul Satterfield Graham Heid,M
26306593,Karan Razdan,F
3193452,Wong Jing,M
1273525,Michael Powell Emeric Pressburger,M
2332610,Jean-Luc Godard,M
17736697,Michael Miller,M
12136473,Judy Hecht Dumontet,F
3293243,Claude Lelouch,M
12234915,Chuck Jones Maurice Noble (co-director),M
13210849,Edward Dmytryk,M
8283324,Franklin Adreon,M
2332364,Lewis Milestone [ i ],M
8648797,Zale Dalen,M
34390034,Mahesh Kothare,M
9457642,Bob Rafelson,M
18950355,Rod Hardy,M
31211176,Gustav Ucicky,M
33687540,Pawan Gill,M
10877732,Fred Schepisi,M
28321756,Eugene Frenke,M
15349690,Michael Curtiz,M
12183290,Michael Laughlin,M
25711367,A. Edward Sutherland,M
73395,Cecil B. DeMille (uncredited),M
1388443,Gérard Bitton Michel Munz,M
25861920,Dick Lowry,M
28492745,Neven Hitrec,M
26723356,Charles Marquis Warren,M
29641798,David Cahill,M
8411320,Colin Bickley,M
31519851,Adam Sherman,M
2374400,Rob Smiley Vincenzo Trippetti,M
12695008,Malcolm D. Lee,M
7351283,David Butler,M
13977536,"Stuart Walker Mitchell Leisen (co-director, credited in 1939 re-release) [ 1 ]",M
34853942,Michele Massimo Tarantini,F
8219325,Peter Segal,M
62688,Alfred Hitchcock,M
4734763,Jem Cohen,M
8859517,Bob Clark,M
3645284,René Clair,M
468356,Peter Hedges,M
7012138,Abbe Wool,F
570743,Chris Weitz Paul Weitz,M
23499382,Sam Wood,M
35211787,M. A. Thirumugam,M
504242,Joss Whedon,M
17916020,Clifton Ko,M
34584668,Sunil,M
129295,Adrian Lyne,M
13289421,Tom DiCillo,M
11796087,Alberto Lattuada,M
11699443,Jonathan Heap,M
16796262,Edward José,M
2894499,Jack Garfein,M
11625324,Frank Borzage,M
163491,Lina Wertmüller,F
26364055,Richard Thorpe,M
25008319,Sean Tretta,M
8987889,Jeffrey Blitz,M
21604407,Riyadh Mahmood,M
23283544,Dave Fleischer,M
30011441,Nadia Tass,F
15749812,Nils Gaup,M
5538421,Fred Walton,M
21132938,Nash Edgerton,M
17058062,Wayne Wang,M
31650028,Hugh Gladwish,M
8353789,Robert Markowitz,M
23687966,Mario Camerini,M
24069458,Lew Landers,M
7955522,Hawley Pratt,M
28074095,Irving Pichel,M
29574385,Shibu Mitra,F
17939111,Clarence Brown,M
24068072,Stanley Kwan,M
10344059,Kim Han-min,F
24061285,Sam Newfield,M
7792664,Gillian Armstrong,F
9088886,Michael Rymer,M
6581470,Victor Mignatti,M
10010910,Vincent O'Connell,M
6767900,Kamal,M
5257643,Richard Thorpe,M
20712613,Michele Lupo,F
3511253,Jerry Paris,M
175079,Robert J. Flaherty,M
18164108,Pat O'Connor,F
30816196,C. V. Sridhar,M
1017172,George Waggner,M
670013,Tetsuya Nomura,M
10387789,Robert Z. Leonard,M
5501445,Blake Edwards,M
5188508,Marcus Cole,M
1597728,Jan Sardi,F
2181949,Ken Hughes,M
35408293,H. Dinesh,M
580994,Nunnally Johnson,M
183828,Anatole Litvak,M
35993713,Leon Ichaso,M
34181242,Craig Moss,M
20700559,Les Mayfield,M
5329751,Mikael Salomon,M
7644867,Mika Kaurismäki,F
29381751,Manish R. Khandelwal,M
7641358,Lew Landers,M
27388121,Harold D. Schuster,M
16364045,Sharad Sharan,F
28958853,Ray Taylor,F
28569306,Cecil Hepworth,M
5283066,Stuart Gordon,M
19920190,Ralph Thomas,M
35488549,Graham Travis,M
13201569,Sam Nelson Mack V. Wright,M
19155069,Akku Akbar,M
20629940,Bill Duke,M
9906067,James B. Harris,M
31420015,Lamont Johnson,M
103022,Paul Mazursky,M
1966655,Takashi Ishii,M
9104173,James Flood,M
22637123,Olle Hellbom,M
27268159,Milton Rosmer,M
11161265,Curtis Harrington,M
8666799,Paul Ziller,M
2649865,Howard Hawks,M
2236141,Frank Tashlin,M
2080306,John Badham,M
2002258,Dwight H. Little,M
25081936,Michael Apted,M
32553773,Lillian Gish,F
11284825,Pierre Granier-Deferre,M
35581611,Bapu,M
23118238,Clarence Brown,M
5344873,Ate de Jong,M
30199617,Steven R. Monroe,M
26104950,L. V. Prasad,M
1336564,John Sturges,M
1481638,Stanley Donen John Barry (replaced),M
11256259,Ram Mukherjee,M
34573784,Lesley Selander,F
18942407,Misti L. Barnes Steve Foldseth,M
21983784,Edwin L. Marin,M
2705410,Albert S. Rogell,M
8359892,Robert F. Slatzer,M
1216495,Roy Ward Baker,M
28762486,John Baxter,M
16855103,Stephan Elliott,M
29240722,J. Walter Ruben,M
23171363,Lawrence Huntington,M
5289480,Wallace Fox,M
3564596,Park Kwang-chun,M
2261407,Kim Ki-duk,F
35808039,Eloy de la Iglesia,M
23664512,Peter Manus,M
18195027,Jeremy Gosch,M
19200837,Francis D. Lyon,M
35726787,Kranthi Madhav,M
8719979,David Hare,M
3158499,Ernest R. Dickerson,M
26554437,Peter Farrelly Bobby Farrelly,M
22578492,Anne Fontaine,F
4600218,Robert Clouse,M
20663735,Shaji Kailas,M
918886,Stefan Ruzowitzky,M
1853602,John Carl Buechler,M
327427,George Stevens,M
1432855,Akira Kurosawa,F
4061041,John Boulting,M
35065476,Om Prakash Rao,M
9091892,David Burton,M
8991907,K. Raghavendra Rao,F
24159097,Peter Hyams,M
7585416,William Wesley,M
29169424,Vincent Sherman,M
8417343,Justin Zackham,M
25682451,Ricky Tognazzi,M
628120,Tod Browning,M
1471831,Jonathan Demme,M
3520906,Steve Boyum,M
19853411,Steven Berkoff,M
6635945,Franc Roddam,M
1997513,David O'Malley [ 1 ],M
1592736,Jared Hess,M
7238588,Daryl Goldberg,M
8898667,Bob Hoskins,M
4129173,Toa Fraser,M
12509757,Tom Shadyac,M
26456639,Wong Jing,M
21008312,Joseph Losey,M
6987479,Todd Phillips,M
2292864,John Fortenberry,M
24157780,Danny Leiner,M
24191412,Robert Emmett Tansey,M
18793667,Luigi Filippo D'Amico Dino Risi Luigi Zampa,M
8777711,James Parrott,M
7306856,Patrice Chéreau,F
74871,Otto Preminger,M
9164973,Herman Yau,M
154635,Krzysztof Kieślowski,M
31443320,Roy Campanella II,M
9389794,Carlos Sorín,M
685987,David S. Ward,M
19846930,Franz Josef Gottlieb,M
4644031,Rod Hardy,M
8499528,Susan Seidelman,F
14728039,Harvey Frost,M
16731651,Jules Dassin,M
6368900,Kenneth Branagh,M
1663320,Donald Petrie,M
21099183,Craig Pryce,M
3832242,Jafar Panahi,M
34172971,James Tinling,M
15553721,Lew Landers,M
6809382,Ole Bornedal,M
11657196,Arthur Rosson,M
74868,Peter Bogdanovich,M
28405178,Rip Torn,M
1853200,Joseph Cates,M
19163688,Jack Lee,M
2939386,Donald G. Jackson Scott Shaw,M
1111223,David Webb Peoples,M
5718787,Henry Hathaway,M
19972307,Oleg Ryaskov,M
33215652,Mehboob Khan,M
26727790,Joseph Mazzuca,M
25411775,Gavin Hood,M
8056688,Mark Robson,M
22271345,Valerio Andrei,M
11035177,Ettore Scola,M
1702604,Guy Hamilton,M
4605171,Jonathan Prince,M
1134154,Nagisa Ōshima,F
224069,Harry Sinclair,M
29733028,Rohit Dhawan,M
29019687,Pablo Trapero,M
6332837,Samuel Fuller,M
10594693,Sydney Pollack,F
29886831,Mario Monicelli Steno,M
12381574,George Sherman,M
10803660,Carl Foreman,M
3657826,Dario Argento,M
22486844,Todd Solondz,M
8337507,Gregory Ratoff,M
15706563,Robert Ellis Louis J. Gasnier Paul Hurst,M
3826800,Nello Rossati,M
20703482,Christian Schoyen Allan Fiterman,M
9391386,Norman Foster,M
8695,Stanley Kubrick,M
21435046,Ladislao Vajda,M
21811775,Robert Kirbyson,M
24889160,Henri Xhonneux,M
28377370,Edmond T. Gréville,M
14291637,Andy Tennant,M
9244646,Mark Bamford,M
2349235,Kabeer Kaushik,M
6839059,Malcolm Mowbray,M
1295686,David Steiman,M
45606,Michael Cacoyannis,M
2542946,John Irvin,M
9123604,Edward Dmytryk,M
3703077,Peter Greenaway,M
275547,Gregory Nava,M
15478296,Robert Montgomery,M
28465900,Griff Furst,M
12065528,Major Ravi,M
7731039,Vayu Nandana Rao,F
2430019,Stuart Heisler,M
15036863,Richard Fleischer,M
30296135,Andres Veiel,M
9002230,Carlos Schlieper,M
4703636,John Fawcett,M
28042876,Chris Miller,M
25811332,Basil Dearden,M
1878054,Nicolas Winding Refn,M
6114774,Noel Black,M
31351,David Lynch,M
6823327,Ramin Bahrani,M
3673942,Eric Till,M
24226493,Michael Curtiz,M
9340076,Albert Pyun,M
25495137,Siva Nageswara Rao,M
7725707,Irving Rapper,M
3176181,Carlos Brooks,M
8283304,Franklin Adreon,M
31163724,Irving Rapper,M
17022526,Stephen Herek,M
1456329,Phil Nibbelink Simon Wells,M
792424,Jean Negulesco,F
8293411,Jim Fall,M
27403920,Mervyn LeRoy,M
23902011,David S. Cass Sr.,M
1367110,Cy Howard,M
163462,Paul Mazursky,M
8545243,Jacques Rivette,M
